subject	frame	mean	roi	roicode
group	1	-5.858007578	1	1
group	2	15.2890842053333	1	1
group	3	19.4577638853333	1	1
group	4	4.632999321664	1	1
group	5	-3.312440594	1	1
group	6	-4.3382803842	1	1
group	7	-6.1192363312	1	1
group	8	-6.35592945466667	1	1
group	9	-4.0599048586	1	1
group	10	-3.83891111273333	1	1
group	11	-2.04578004033333	1	1
group	12	-1.99371270133333	1	1
group	13	-1.47622208066667	1	1
group	14	1.13168468293333	1	1
group	15	3.90601616706667	1	1
group	16	6.0306886932	1	1
group	17	5.36642516133333	1	1
group	18	8.65136935066667	1	1
group	19	6.85450895133333	1	1
group	20	1.51707220333333	1	1
group	21	0.710646882066667	1	1
group	22	1.659815624	1	1
group	23	1.31655091866667	1	1
group	24	2.89393132826667	1	1
group	25	-2.34485366686667	1	1
group	26	9.44596898933333	1	1
group	27	20.6974955726667	1	1
group	28	11.990855698	1	1
group	29	-0.772592083333333	1	1
group	30	-7.862815954	1	1
group	31	-4.91046811733333	1	1
group	32	-3.832754036	1	1
group	33	-9.0206545032	1	1
group	1	-6.53236519615385	2	2
group	2	8.84907941435897	2	2
group	3	-4.03223947051282	2	2
group	4	-25.4424054858974	2	2
group	5	-32.8850482179487	2	2
group	6	-33.0407393153846	2	2
group	7	-33.6211499230769	2	2
group	8	-34.6106955269231	2	2
group	9	-33.1873655897436	2	2
group	10	-31.6752403166667	2	2
group	11	-27.8514871089744	2	2
group	12	-28.2686517833333	2	2
group	13	-26.8053405703846	2	2
group	14	-22.9683436282051	2	2
group	15	-19.6090100442308	2	2
group	16	-17.1009796589744	2	2
group	17	-18.5549849197436	2	2
group	18	-15.0779423692308	2	2
group	19	-17.8387644141026	2	2
group	20	-23.4881135038462	2	2
group	21	-21.6036540196154	2	2
group	22	-20.664201974359	2	2
group	23	-22.0766061448718	2	2
group	24	-20.3889606252692	2	2
group	25	-26.5265133871795	2	2
group	26	-6.59802200769231	2	2
group	27	15.1753945987179	2	2
group	28	9.62751366666667	2	2
group	29	-1.01566230769231	2	2
group	30	-4.50936282820513	2	2
group	31	-0.883919666153846	2	2
group	32	1.03978090512821	2	2
group	33	-6.11038063205128	2	2
group	1	-2.89127994480676	3	3
group	2	20.3056011325483	3	3
group	3	32.1433818134058	3	3
group	4	26.9178872777778	3	3
group	5	21.6583362125604	3	3
group	6	20.8256065966184	3	3
group	7	18.321921089372	3	3
group	8	18.3982560718599	3	3
group	9	20.915600535628	3	3
group	10	20.3954228527778	3	3
group	11	20.7022099601449	3	3
group	12	21.7774173272947	3	3
group	13	21.0623657753623	3	3
group	14	21.4446482597222	3	3
group	15	21.8062412355072	3	3
group	16	23.8927808312802	3	3
group	17	22.978014089372	3	3
group	18	25.1526658117754	3	3
group	19	24.3965790247585	3	3
group	20	20.5652290827295	3	3
group	21	19.5867233675725	3	3
group	22	19.2215885096618	3	3
group	23	18.6644863834541	3	3
group	24	20.5869458078502	3	3
group	25	14.3221600778986	3	3
group	26	16.6531880438406	3	3
group	27	18.3398077167874	3	3
group	28	10.4475021786232	3	3
group	29	-0.759995229951691	3	3
group	30	-7.23685457385266	3	3
group	31	-7.11338158109903	3	3
group	32	-7.12146254951691	3	3
group	33	-12.3815176177536	3	3
group	1	6.19045445572917	4	4
group	2	10.0808763229167	4	4
group	3	9.67179665885417	4	4
group	4	5.00864934817708	4	4
group	5	2.9967297890625	4	4
group	6	3.85654290104167	4	4
group	7	5.770054296875	4	4
group	8	7.23345424973958	4	4
group	9	9.89452009895833	4	4
group	10	11.0646023346354	4	4
group	11	11.1548200885417	4	4
group	12	10.6489952083333	4	4
group	13	10.2294815572917	4	4
group	14	11.3049613203125	4	4
group	15	9.85303518229167	4	4
group	16	9.53009723958333	4	4
group	17	7.32792388541667	4	4
group	18	5.85899377604167	4	4
group	19	5.40823755208333	4	4
group	20	3.89751046875	4	4
group	21	5.41621579166667	4	4
group	22	5.53346869270833	4	4
group	23	5.04579323619792	4	4
group	24	5.97876423958333	4	4
group	25	-2.52111800520833	4	4
group	26	-8.32121297395833	4	4
group	27	-0.63405546875	4	4
group	28	1.79951752604167	4	4
group	29	-3.98589788541667	4	4
group	30	-6.69734251822917	4	4
group	31	-8.669451265625	4	4
group	32	-4.72263357552083	4	4
group	33	-6.81887198828125	4	4
